0	1721	798	1092	1266	1708	2030	1233	477	1888	932	1857	964	1503	392	2046	2305	699	2362	1166	381	960	533	272	1437	840	911	978	2269	463	1496	1102	1414	119	128	1690	2147	1687	405	609	598	155	174	1955	1931	1950	689	1209
1721	0	274	2377	2283	1593	2048	1626	1707	1128	2117	285	1103	960	1095	864	552	1623	1845	1409	2042	616	1487	2285	530	2042	2388	302	1507	1743	809	864	1463	1212	2217	350	2409	1718	962	2026	1669	751	134	1252	1098	179	1593	410
798	274	0	2118	968	2220	2060	1478	1610	2045	1695	548	687	522	783	210	282	1699	2205	346	2483	971	1539	624	1280	1884	1247	993	875	1959	2392	1159	919	915	564	598	427	708	866	1013	87	2038	1506	1995	1790	1496	608	786
1092	2377	2118	0	437	2270	1846	104	1633	2482	805	2421	1128	121	1223	349	1662	2438	1451	434	197	1142	674	1396	163	2021	1954	885	1615	2308	797	436	1977	2439	727	252	1479	1220	595	511	75	1196	1604	2216	594	1500	1144	798
1266	2283	968	437	0	2309	1634	353	2294	1756	2070	1391	921	189	1768	780	2326	1816	1124	1475	661	1175	1061	1197	2135	82	1609	2122	331	1931	722	1219	1151	1470	1567	2015	156	1380	807	1354	1007	58	1831	1467	1025	619	1443	822
1708	1593	2220	2270	2309	0	357	999	1098	1287	1610	627	502	2124	2102	878	929	1758	2403	2173	693	1149	543	2076	1047	1769	47	497	1140	275	2488	2279	2036	1657	841	1845	225	2329	634	221	549	1765	2359	2274	2468	967	2355	737
2030	2048	2060	1846	1634	357	0	2140	376	1610	326	981	2358	1347	1038	468	1755	1235	2186	1748	1032	1167	2189	1977	1269	2080	2425	840	2332	711	2268	1134	486	2425	991	1096	1548	1542	812	2381	1184	712	1727	334	2415	1145	1217	1906
1233	1626	1478	104	353	999	2140	0	320	356	2394	212	2070	2233	121	151	2241	656	2012	517	154	1867	2157	2060	524	1012	758	1855	420	372	348	2249	1842	1315	317	1126	630	1389	2185	406	1234	245	722	2268	2338	139	1461	1295
477	1707	1610	1633	2294	1098	376	320	0	1831	1551	2034	1563	314	571	2261	1121	584	2099	758	1648	815	1683	1643	896	770	1176	1034	116	2315	1209	2294	1988	2032	515	1628	1334	173	669	451	1058	865	1273	486	2193	1601	1322	475
1888	1128	2045	2482	1756	1287	1610	356	1831	0	1017	98	470	1641	1450	1356	207	996	751	2196	672	2173	2057	632	1085	1263	364	1730	1588	2438	1195	464	219	336	1272	125	686	2437	2325	2329	750	398	2122	2125	401	294	648	2382
932	2117	1695	805	2070	1610	326	2394	1551	1017	0	1453	515	1860	699	1667	1921	145	1575	904	2250	2202	1321	2135	2145	538	1372	698	522	208	1383	378	866	1256	1425	1236	525	493	176	1702	2145	184	1768	276	1727	380	325	2288
1857	285	548	2421	1391	627	981	212	2034	98	1453	0	2356	2406	321	563	1134	2033	1544	2338	2377	1819	2408	863	557	102	607	2231	2422	1298	1602	2163	1359	1338	350	2416	1089	1118	542	791	744	1559	174	2339	1892	875	1044	758
964	1103	687	1128	921	502	2358	2070	1563	470	515	2356	0	79	1650	311	554	828	900	965	618	2051	1750	1194	650	1841	1790	1433	2154	538	189	2188	608	1412	2367	1991	523	1517	895	301	230	1997	2129	1419	1486	1178	661	502
1503	960	522	121	189	2124	1347	2233	314	1641	1860	2406	79	0	624	1659	1350	794	579	1878	290	2158	467	1693	1458	368	1776	626	1256	1598	1197	1921	713	680	2055	2348	1166	934	817	709	126	1614	911	2234	1470	707	886	1617
392	1095	783	1223	1768	2102	1038	121	571	1450	699	321	1650	624	0	2139	387	254	383	214	378	1956	66	480	1809	657	1690	1344	1300	1986	512	545	124	2257	1037	2432	657	2191	1953	608	1650	402	399	579	2004	1633	2024	222
2046	864	210	349	780	878	468	151	2261	1356	1667	563	311	1659	2139	0	287	2326	743	136	1742	1321	1338	1665	1608	476	1253	1483	2470	367	2075	2101	797	712	516	957	336	859	2348	544	2115	64	546	1588	2030	1682	2336	920
2305	552	282	1662	2326	929	1755	2241	1121	207	1921	1134	554	1350	387	287	0	1236	1784	239	2164	1122	1028	1225	872	1893	1684	316	2115	2119	2434	467	1219	928	1492	1027	702	489	999	1083	2465	777	723	1439	2532	2190	709	1196
699	1623	1699	2438	1816	1758	1235	656	584	996	145	2033	828	794	254	2326	1236	0	2193	1768	1362	94	1936	2190	985	575	1924	1957	1800	808	2366	641	1834	852	749	2231	709	1637	1201	2252	1495	187	725	1852	2375	809	340	1501
2362	1845	2205	1451	1124	2403	2186	2012	2099	751	1575	1544	900	579	383	743	1784	2193	0	1543	176	98	1559	1303	1014	1665	1939	2427	1264	422	539	1087	2054	813	663	1186	676	1140	661	2226	845	1631	1511	763	2527	2258	950	724
1166	1409	346	434	1475	2173	1748	517	758	2196	904	2338	965	1878	214	136	239	1768	1543	0	2201	1166	550	1187	213	2216	1066	2066	132	1860	1120	2485	737	1383	1547	1576	1371	2453	1301	1920	1308	408	1314	1055	1884	566	1083	868
381	2042	2483	197	661	693	1032	154	1648	672	2250	2377	618	290	378	1742	2164	1362	176	2201	0	1703	1550	2488	2458	1144	342	1213	2273	2415	1693	596	431	1290	1577	836	1324	1287	1010	2064	1202	818	1554	1384	1432	2403	1482	219
960	616	971	1142	1175	1149	1167	1867	815	2173	2202	1819	2051	2158	1956	1321	1122	94	98	1166	1703	0	1755	563	557	376	1282	2500	1441	384	1187	1336	786	1483	2052	2383	1947	2281	885	211	1388	1591	1864	1420	1989	1729	1693	1643
533	1487	1539	674	1061	543	2189	2157	1683	2057	1321	2408	1750	467	66	1338	1028	1936	1559	550	1550	1755	0	738	1426	1538	574	2321	440	1957	502	877	2300	68	360	628	1369	570	84	1278	174	2009	203	2039	1649	1413	1721	1507
272	2285	624	1396	1197	2076	1977	2060	1643	632	2135	863	1194	1693	480	1665	1225	2190	1303	1187	2488	563	738	0	860	959	764	1646	2499	672	263	733	1336	549	1514	391	2193	1650	1113	340	1532	404	1911	606	515	722	1781	384
1437	530	1280	163	2135	1047	1269	524	896	1085	2145	557	650	1458	1809	1608	872	985	1014	213	2458	557	1426	860	0	1222	258	1700	802	781	1241	959	967	878	112	1334	686	1194	1093	774	462	209	75	1265	1364	107	1139	367
840	2042	1884	2021	82	1769	2080	1012	770	1263	538	102	1841	368	657	476	1893	575	1665	2216	1144	376	1538	959	1222	0	2365	2355	1020	1656	1775	1276	1127	1766	409	621	1129	1535	2045	1251	134	2247	2216	2093	569	2285	133	200
911	2388	1247	1954	1609	47	2425	758	1176	364	1372	607	1790	1776	1690	1253	1684	1924	1939	1066	342	1282	574	764	258	2365	0	2200	2385	1696	2327	944	1163	1072	711	543	2321	2196	1203	2274	761	303	1088	1250	2481	1638	556	441
978	302	993	885	2122	497	840	1855	1034	1730	698	2231	1433	626	1344	1483	316	1957	2427	2066	1213	2500	2321	1646	1700	2355	2200	0	1916	1971	1474	1386	205	2105	825	663	1953	645	1030	766	896	1601	495	1069	2418	722	559	284
2269	1507	875	1615	331	1140	2332	420	116	1588	522	2422	2154	1256	1300	2470	2115	1800	1264	132	2273	1441	440	2499	802	1020	2385	1916	0	179	1214	1038	1116	2028	2122	586	2270	472	1381	1593	2413	2119	1978	932	1172	126	2414	1331
463	1743	1959	2308	1931	275	711	372	2315	2438	208	1298	538	1598	1986	367	2119	808	422	1860	2415	384	1957	672	781	1656	1696	1971	179	0	2383	379	379	2429	985	629	159	100	2170	1391	1963	2346	532	205	2393	549	1879	1182
1496	809	2392	797	722	2488	2268	348	1209	1195	1383	1602	189	1197	512	2075	2434	2366	539	1120	1693	1187	502	263	1241	1775	2327	1474	1214	2383	0	2318	371	233	2370	989	1486	2204	1192	1455	1354	1885	1793	384	2384	1788	479	306
1102	864	1159	436	1219	2279	1134	2249	2294	464	378	2163	2188	1921	545	2101	467	641	1087	2485	596	1336	877	733	959	1276	944	1386	1038	379	2318	0	132	1771	882	1519	100	2125	290	1513	868	1728	1595	801	1043	2429	739	765
1414	1463	919	1977	1151	2036	486	1842	1988	219	866	1359	608	713	124	797	1219	1834	2054	737	431	786	2300	1336	967	1127	1163	205	1116	379	371	132	0	1033	946	644	2055	1626	2438	429	131	1279	1729	770	2035	1757	1331	684
119	1212	915	2439	1470	1657	2425	1315	2032	336	1256	1338	1412	680	2257	712	928	852	813	1383	1290	1483	68	549	878	1766	1072	2105	2028	2429	233	1771	1033	0	1635	646	365	1878	677	1381	519	1195	844	1079	1528	1229	1290	1857
128	2217	564	727	1567	841	991	317	515	1272	1425	350	2367	2055	1037	516	1492	749	663	1547	1577	2052	360	1514	112	409	711	825	2122	985	2370	882	946	1635	0	895	891	833	1848	913	1099	432	93	1501	146	2166	542	289
1690	350	598	252	2015	1845	1096	1126	1628	125	1236	2416	1991	2348	2432	957	1027	2231	1186	1576	836	2383	628	391	1334	621	543	663	586	629	989	1519	644	646	895	0	82	1868	416	1769	2387	911	876	1523	2316	1941	2322	1509
2147	2409	427	1479	156	225	1548	630	1334	686	525	1089	523	1166	657	336	702	709	676	1371	1324	1947	1369	2193	686	1129	2321	1953	2270	159	1486	100	2055	365	891	82	0	345	2043	443	1083	331	2105	2207	2526	1554	500	1656
1687	1718	708	1220	1380	2329	1542	1389	173	2437	493	1118	1517	934	2191	859	489	1637	1140	2453	1287	2281	570	1650	1194	1535	2196	645	472	100	2204	2125	1626	1878	833	1868	345	0	2214	839	117	819	2107	2328	2339	2096	2333	301
405	962	866	595	807	634	812	2185	669	2325	176	542	895	817	1953	2348	999	1201	661	1301	1010	885	84	1113	1093	2045	1203	1030	1381	2170	1192	290	2438	677	1848	416	2043	2214	0	909	1130	1774	1374	2215	1100	1168	1239	1647
609	2026	1013	511	1354	221	2381	406	451	2329	1702	791	301	709	608	544	1083	2252	2226	1920	2064	211	1278	340	774	1251	2274	766	1593	1391	1455	1513	429	1381	913	1769	443	839	909	0	751	1767	51	171	1988	782	1540	1902
598	1669	87	75	1007	549	1184	1234	1058	750	2145	744	230	126	1650	2115	2465	1495	845	1308	1202	1388	174	1532	462	134	761	896	2413	1963	1354	868	131	519	1099	2387	1083	117	1130	751	0	1978	1138	1190	1766	1608	474	2146
155	751	2038	1196	58	1765	712	245	865	398	184	1559	1997	1614	402	64	777	187	1631	408	818	1591	2009	404	209	2247	303	1601	2119	2346	1885	1728	1279	1195	432	911	331	819	1774	1767	1978	0	1462	2294	698	1931	1627	286
174	134	1506	1604	1831	2359	1727	722	1273	2122	1768	174	2129	911	399	546	723	725	1511	1314	1554	1864	203	1911	75	2216	1088	495	1978	532	1793	1595	1729	844	93	876	2105	2107	1374	51	1138	1462	0	1130	2405	1053	2454	597
1955	1252	1995	2216	1467	2274	334	2268	486	2125	276	2339	1419	2234	579	1588	1439	1852	763	1055	1384	1420	2039	606	1265	2093	1250	1069	932	205	384	801	770	1079	1501	1523	2207	2328	2215	171	1190	2294	1130	0	2379	2057	1334	952
1931	1098	1790	594	1025	2468	2415	2338	2193	401	1727	1892	1486	1470	2004	2030	2532	2375	2527	1884	1432	1989	1649	515	1364	569	2481	2418	1172	2393	2384	1043	2035	1528	146	2316	2526	2339	1100	1988	1766	698	2405	2379	0	249	511	2375
1950	179	1496	1500	619	967	1145	139	1601	294	380	875	1178	707	1633	1682	2190	809	2258	566	2403	1729	1413	722	107	2285	1638	722	126	549	1788	2429	1757	1229	2166	1941	1554	2096	1168	782	1608	1931	1053	2057	249	0	2088	1020
